제목,날짜,작성자,작성일,댓글
"'차기 대선' 윤석열, 일대일이면 누구든 이긴다",2021-05-06 15:14:00,1***y,2021-05-06 19:46:43,"기레기들 신났네 ㅋㅋㅋ
아니 저 돼지 마누라랑 장모 좀 조국처럼 캐보라니까"
"윤석열, 길어지는 '등판' 저울질…야당 ""빨리 합류"" 재촉",2021-05-12 20:32:00,B***e,2021-05-13 08:08:03,이사람 출마 안한다에500원 건다
"윤석열, 길어지는 '등판' 저울질…야당 ""빨리 합류"" 재촉",2021-05-12 20:32:00,김***건,2021-05-13 07:29:57,"안철수를 능가하는 타고난 간잽이. 간고등어 소금간은 이제 안철수가 아닌 윤석렬이 책임지는 건가? 하긴 마눌님과 장모님이 교도소 담장위를 걷고 있는 상황에서 쉽지않은 선택임을 인정한다고 하더라도 넋놓고 윤짜장 칭송가를 불러대고 있는 한 늙은이와 수꼴들의 아우성치는 작태를 모른척한다면 어찌 사내대장부라 할 수 있겠는가? 조무래기들 몰고 다니며 껄떡거리는, 보이는 그대로의 삼류 양아치임을 스스로 인정하는 것은 아닐지....."
"윤석열, 길어지는 '등판' 저울질…야당 ""빨리 합류"" 재촉",2021-05-12 20:32:00,김***수,2021-05-12 22:08:43,흠 이분 지지하는중이긴 하는대 너무 미적거리는대 정치하고 대권 도전할꺼면 얼른하던지 아님 뜻없다선언하고 조용히 지내시던지 해야지 이건 간보는것도 아니고 미지근하게 뭔하는건지 몰겠다 그리고 국힘 니들뭐냐 니들 인물없는거 다아는 사실이고 지금 지지도는 여당이 하도삽질하니까 반사이익얻는중인대 도로영남당 가냐? 왜 쓰잘대기없이 명박 근혜 사면에 윤전총장보고 사과해라 마라 하는대 저것들 아직도 정신 못차렷네
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,동***이,2021-04-13 07:40:58,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,c***2,2021-04-13 05:58:14,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,f***7,2021-04-13 02:08:53,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,f***7,2021-04-13 01:59:04,이낙연은 문재인과 함께 침몰해 제거 될각이고 이재명은 대깨등르 떠않아야 될텐데 점점 대깨들은 침몰각이라 대깨랑 한배탔다간 좌익 자체가 박멸될거고.. 중도 전후를 꽉잡은 윤석열이 그나마 여유롭구나.
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,h***0,2021-04-13 01:19:36,"국민의 수준이 이지경이 된게 누구 때문인가?
일개 검사가 대통령감이라니.... 이 사람이 데체 누구란 말인가?
한탄스럽고, 한심스러원진다."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,h***0,2021-04-13 01:17:09,"도데체 국민의 수준이 이 모양이된게 누구 때문인가? 한탄스럽고 수치스럽다.
일개 검사가 대통령감이라니....? 한심하다."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,o***0,2021-04-13 01:02:15,자 문이란 세력은 결국명분만 채기려다 이도저도 안된 댐빵하다 막판에 LH아킬레스로 머된정권이다... 그렇다구 야인들이 멋지게 잘한것도 없다... 정신차려라 여든 야든 정치하는것들은 세금으로 대신 일하는 노비다 그걸 마치 희롱하듯 또 쑈를한다..정신차려라...정치하는것들은 여든야든 다 우리편이아니란것을..바보같이 아직도 선그려구 뇌를 소모하지마라..
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,k***3,2021-04-12 23:51:32,"윤석열 전 검찰총장, 조국 전 장관 처럼 장모 부인 본인 범죄, 70곳 이상 압수수색 사법처리 했다면 윤석열 본인 부인 장모 몽땅 감방에 쳐박혀 있을 것으로 확신한다."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,이***석,2021-04-12 23:03:24,이재명은 혜경궁김씨 사건으로 친문이 죽이려고할때 그냥 탈당해서 정의당이나 국민의당으로 갔으면 지금보다 훨씬 전망 좋았을거다. 지금 민주당에서 백날 친문한테 아부해봐야 친문이 대선후볼 안 밀어준다. 정동영하고 이명박 매치할때도 친문들이 도와주지도 않았다. 친문패권주의는 자기들편이 권력 못잡으면 차라리 상대당에게 권력주는게 낫다라는 생각을 가진 비정상적인 사람들이다.
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,김***기,2021-04-12 22:05:33,"(외톨이참새)
어리석은 진보들....아니 친문들.
내가 예측한 정치가 꼭맞아들어가는군...
내가 거듭거듭 강조했듯이 니들은 명박이보다 더 모진자를 맞이하게 될거야...
내말이 의심스러우면 내아이디를 정치기사 5개월전부터 검색해보라.
니들은 콧방구를 뀌겠지만, 이젠 재명이도 장담을 못하는 사태까지 왔다.
니들은 이제 사즉생의 심정으로 재명이에게 기대를 하겠지만....
과연 친문과 문통정치의 증오표심을 이길수가 있을까 ?"
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,박***안,2021-04-12 21:53:05,윤가가 할수있는것은 범죄자잡는거하고 없는죄도 만드는거외 뭘할수있을까
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,A***n,2021-04-12 21:44:48,"나라가 망하는 방법인가?
어디 방글라데시 후진국도 아니고 대한민국 수준 개허접이네"
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,한***우,2021-04-12 21:36:12,ㅋㅋㅋJTBC 왜이러냥. 손석희 내려가더니 ;;
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,J***g,2021-04-12 21:24:08,JTBC도 진즉에 기레기 반열에 올랐구나...
"""남북통일도 하는데"" ""윤석열도 오는데""… 홍준표 복당 놓고 '와글와글'",2021-05-11 11:40:00,c***2,2021-05-11 11:48:36,얼른 받아라.. 저 발정제 오면.. 니들 폭망이니... ㅋㅋㅋ
"윤석열의 길어지는 '침묵과 잠행'...국힘서도 ""합류 어려울 듯""",2021-05-07 11:56:00,i***4,2021-05-07 15:00:44,"( 이슬람의 진실을 밝히는 증거 )

https://k1438.blogspot.kr/2016/12/blog-post.html

I======l

((( ""삶의 의미"" )))


https://youtu.be/NFJHyCau5v8


000000
-----"
'지지율 1위' 윤석열의 딜레마…대선주자 비호감도 1위,2021-04-14 08:17:00,c***2,2021-04-14 14:37:17,"니 장모랑 와이프 유죄 나올텐데.. 어쩌니? 지지율? 그거 다 뻥이야... 니 돈 많이 쓰,고 찌그러져라...ㅋㅋ"
"""윤석열, 문 정부 행동대장""…국민의힘서 첫 공개비판",2021-04-29 09:28:00,c***2,2021-04-29 12:16:59,지 장모 행동 대장이겠지...
"""윤석열, 문 정부 행동대장""…국민의힘서 첫 공개비판",2021-04-29 09:28:00,한***적,2021-04-29 10:47:35,"박근혜대통령 이재용 구속 앞장서서 문제인정권에 큰힘을 실어주며 법치가 무너지는데 일등공신 윤총장 문제인에게 큰상 까지 받으셨는데 문통에게 은혜를 갚아야겠죠?
국민은 바보가 이닙니다.
피의숙청에세 윤총장은 자유롭지 않으니 탄핵과 애국보수의 구속에 대한 고해성사가 먼저 라는것 아셔야할듯"
'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,김***숙,2021-04-18 22:30:40,"윤석열은 똥이다
나는 이재명을 지지한다"
'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,J***n,2021-04-16 01:07:09,"""타성에 젖지 않고, 늘 겸손하게..."" 이희정 정치부 기자, 웃기지 좀 말고, 기자라고 하지도 말고... 기레기가 정답. 검새 윤석열이가 대통령 후보로 오르내릴 때, 정말 참담하고 민망한 국민들은 생각해 봤나? 홍씨가 그렇게 띄우라 하던? 수구 족벌 언론 사주의 노예일뿐, 기자는 무슨... 나같으면 쪽팔려서라도 그 사진 내린다."
'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,J***n,2021-04-16 01:02:06,윤석열 대통령 후보로 띄워주기에 열혈한 Fucking JTBC. 홍석현이 그렇게 시키더냐? 족벌 독재 사주에 노예가 되어 버린 JTBC의 기레기들... 옛날 니들 선배들은 반항이라도 했지. ㅉㅉ 한심한 JTBC.
"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,J***g,2021-05-10 15:45:28,"얜.. 유치원3법으로 적당~~히 눈도장 한번 찍더니.. 무슨 결론을 내긴했나..흐지부히 되지 않았나.?
그리곤 대뜸 대선? ...ㅡ.ㅡ;; 내 얼굴이 다 화끈거린다.."
"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,장원***,2021-05-10 09:31:46,정의당 간 거 아니었어?
"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,S***3,2021-05-10 08:17:26,"참나, 이 박가 놈은 왜 꼼지락대는지 모르겠어..ㅋㅋ
뭐 새로운 인물 어쩌구 저째? 넌 전혀 새롭거나 참신하지 않아.. 이 넘아..."
[JTBC 여론조사] 조금 더 벌어진 윤석열-이재명 지지율 격차...개각 후 민심은?,2021-04-19 19:24:00,원***리,2021-04-19 20:15:38,"선거 끝나니까. LH 얘기 쏙 들어가고. 매일매일 부동산 폭등. 폭등. 전세난민. 이라더만..
요샌 오세훈 효과? 부동산 상승세.

폭등폭등 외치던 새키들이.. 왜 갑자기 부동산 상승세라고 순화시켜서 기사를 써?"
"김무성 ""촛불 계엄령 사실""…당내 친박 '탄핵책임론' 조기진압?",2021-04-27 19:27:00,k***.,2021-04-27 20:29:14,김무성과 유승민은 주딩이가 열개라도 할말이 없는놈들 입니다.
주호영 당대표 출마선언...나경원 '고심' 속 윤곽 드러나는 대진표,2021-05-10 16:52:00,불***신,2021-05-10 18:17:11,애도 가만보면 감투쓰기을 좋아하네 에라이
주호영 당대표 출마선언...나경원 '고심' 속 윤곽 드러나는 대진표,2021-05-10 16:52:00,c***2,2021-05-10 17:00:17,호영아.. 넌 집도 많고.. 수 십억 원 씩 부동산으로 벌었으니 좋겠다...
이재명과 격차 더 벌린 윤석열…'비호감도' 또 최고치,2021-04-20 08:04:00,T***n,2021-04-26 09:24:11,언젠가부터 JTBC도 다른 조잡한 언론들과 비슷해지고 있다는 느낌을 계속 받는다. JTBC가 유일하게 믿던 언론이었다. 지금은 나만 느끼는건지는 모르겠지만 기사에서 공정함이라던가 진실들과 멀어진다는 느낌이 강하게 든다. 손석희씨가 뉴스에서 없어진 그때부터라는 생각이 들지만 제발 아니길 바란다.
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,김***철,2021-04-12 21:33:19,조중동과 리얼미터를 믿어? 그 거품 빠지는걸 보여주지
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,한***우,2021-04-12 19:41:08,세상에나 저분이 대통령이 된다굽쇼??
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,조***영,2021-04-12 19:37:55,대선주자 1위가... 대한민국을 위해 무엇을 했는지 도무지 알 수가 없으니... 쩝...
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,1***y,2021-04-12 19:24:28,그만 좀 띄워 개역겨워
"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,박***3,2021-04-14 07:57:33,"답은 명확합니다.
이낙연입니다.
호불호는 순간이구요.
사람의 됨됨이가 최종 답안입니다.
우리는 이낙연이라면
믿고 갑시다."
"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,f***7,2021-04-13 19:20:01,대한민국 20~30프로 극좌익 설문조사 ㅋㅋㅋ
"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,정***훈,2021-04-13 19:14:58,"니들이 싫다고 해 봐야 대세는 변하지 않는다. 우리나라는 일부 강성 민주당 지지자들의 나라가 아니다. 중도의 의견이 제일 중요하고, 그들의 의견이 곧 국가의 길이 된다."
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,s***9,2021-05-01 11:07:35,"법쟁이 다운 멍멍소리

국개에서 판사 검사 출신과 변호사는 이제 그만 찍어주자

저자들은 도무지 시끄러워 서 꼴 보기 싫다

깜빵에서 밥먹어야 할 자 가"
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,린***프,2021-05-01 09:32:20,김기현이는 수사를 제대로 했다면 비리혐의로 감옥에 있어야 할 놈으로 보이는데 주둥이는 마구 놀리네
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,y***6,2021-05-01 09:15:56,국민의힘은 이번 보선을 7%의 지지율로 이긴것이다.워낙 민주당의 오만과독선이 부른 결과와 안철수대표를 비롯한 중도표심의 결과이다...자만은 금물 이다..완전히 냄새가 나지 않는 개혁이 필요 하다...그래야..윤석열 온다...3세력의 태동을 항상 염두에둬야 한다...
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,솔***몰,2021-05-01 08:16:59,"이넘이나 저넘이나 또라이 같은 말만 하냐
저들은 어떤 유전자를 타고 나서 주동이만 벌리면 협박하고 비랄하냐
토착왜구 유전잔가"
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,c***2,2021-05-01 07:06:18,왜구놈들... 국민적 저항...? 니들이 그 자리 차지 했을때.. 언떤 개지롤들을 했는지 국민이 다 안다... 계속 깝쳐라.. 그래야..다음에도 폭망하지?
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,김***기,2021-05-01 07:02:19,자기동네가서 정치해~ 보기 싫어 듣기 싫어 쌈쟁이 무능력한 국민의 짐
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,최***호,2021-05-01 06:18:47,직을 이용한 범죄자가 감옥 가는것이 국격이 떨어진다고? 저런 천박한 범죄자 둘이 국격을 떨어 뜨린거 아니냐? 그래서 당신도 그나물에 그밥인거야! 더럽고 추하고 미천한 ... !
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,J***k,2021-05-01 00:49:16,"개소 리 한다 싶어 보면 항상 개 상 디 언 !
독립해라 개상민국으로!"
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,H***s,2021-04-30 23:18:54,"원조성범죄부패당주제에...., 법사자리뺏었아, 면죄부받을 생각인가?
이멍닭근녜시절, 검사들이 저지른 범죄부터 단죄해라."
"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,가***이,2021-04-30 21:26:58,"뭐냐 ㅋㅋㅋ
원내대표 되면 법사위원장자리 지들에게 줘야되
지금것 단한번도 협조라는걸 안한 ㅆㄲ들이 이제 저항을 하신다네 ㅎㅎ"
"'야당 압승' 선거…'뚝' 떨어진 윤석열 지지율, 왜?",2021-04-08 20:08:00,울***져,2021-04-12 21:48:53,븅신들 빼고는 다 안다. 여론 조작질
"'야당 압승' 선거…'뚝' 떨어진 윤석열 지지율, 왜?",2021-04-08 20:08:00,S***N,2021-04-09 08:44:07,반사이익.... 민주당이 마음에 안들어서 윤씨를 지지했는데. 이번 재보궐에서 심판했으니 이제 윤씨는 필요 없어진거지... 국민들 수준이 높아....
"'야당 압승' 선거…'뚝' 떨어진 윤석열 지지율, 왜?",2021-04-08 20:08:00,김***건,2021-04-09 04:34:49,용도폐기. 윤짜장. ㅋ ㅋ
"'야당 압승' 선거…'뚝' 떨어진 윤석열 지지율, 왜?",2021-04-08 20:08:00,B***E,2021-04-09 04:15:47,도둑의 소굴로 겨들어가서 나라를 또 난장판으로 만들려고?
"'야당 압승' 선거…'뚝' 떨어진 윤석열 지지율, 왜?",2021-04-08 20:08:00,S***3,2021-04-09 01:23:29,하아.... 저 깡패색히.....
"'백신' 각 세우는 이재명·정세균…진중권, 이번엔 '어대명'?",2021-04-29 19:47:00,c***2,2021-04-30 07:16:36,진준권? 뭐 하는 놈인데.. 자꾸 나오니? 지가 김문수 인 줄 알아..ㅋㅋㅋㅋㅋ
"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,김***기,2021-04-20 11:00:04,"고생은 정세균,문재인등 몇분이 하시고
달콤한 열매는 이상직, 김우남, 김어준등 잡배들이 따먹고 있네.

역사를 봐도 어디나 그럽 잡배들이 꼬이기 마련!"
"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,홍***락,2021-04-20 02:31:37,성낭 민심은 저버리고 대선출마라...
"청년 이슈로 발동 건 윤석열...측근 ""2030 분노는 기회 박탈 때문""",2021-04-13 12:58:00,1***y,2021-04-13 13:35:52,"이건뭐 완전 조중동 수준의 기사잖아 ㅋㅋㅋ
전국민이 다 아는 장모 마누라 의혹은 쏙 빼고 ㅋㅋㅋ
KBS도 마누라가 유부남 검사랑 여행간거 보도했다
JTBC는 이제 끝이다
퉤"
"청년 이슈로 발동 건 윤석열...측근 ""2030 분노는 기회 박탈 때문""",2021-04-13 12:58:00,1***y,2021-04-13 13:31:56,니 장모 수백억 사기 의혹이나 좀 말해봐라
"청년 이슈로 발동 건 윤석열...측근 ""2030 분노는 기회 박탈 때문""",2021-04-13 12:58:00,c***2,2021-04-13 13:24:32,니 장모가 사기치고.. 투기하고... 그래서 청년들이 못사는 거야.. 양아치들 덕분에...
"""1주일에 1천여만원 든다는데""…윤석열 '러브콜' 시작한 국민의힘",2021-04-09 13:52:00,김***기,2021-04-09 16:16:12,"(외톨이참새)
석열이에게 러브콜을 보낸다고 ?
나의 아이디댓글을 본 댓글러들은 잘알고있을것이다.
불과1년전만 하여도 진보댓글을 썼었다는것을...
하지만 문통정치에 구역질이나서 수꼴로 돌아섰었지.
하지만 야당에 아무리 인물이 없기로서니... 석열이는 너무 아니지.
그건 스스로 무덤을 파는격이야....
남의부모가 자기자식이 말을 잘안듣는다고 이웃사람에게 혼구녕을 내주라고 한다고... 진짜로 눈치없이 때리냐 !! 이 멍청들아...."
"""1주일에 1천여만원 든다는데""…윤석열 '러브콜' 시작한 국민의힘",2021-04-09 13:52:00,y***6,2021-04-09 15:59:16,진심의 정치는 안대표의 정치철학이다...그래야 지지 를 받는다....
[비하인드+] 진중권 vs 김용민 '똘마니 논란' 소송 결말은,2021-04-25 20:19:00,c***2,2021-04-26 12:14:57,정치인도 아니고.. 학자도 아니고.. 그냥 그런 인간이... 사람들 관심 좀 받으려고 애쓴다.. 불쌍하다..
"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,c***2,2021-03-25 07:50:49,벌써.. 안철수 팽 시킬라고 준비하네.. 철수야..세상 사람 다 믿어도..저 왜구들은 믿지마라.. 뭐 근데 너도 그쪽 출신이라 왜구의 피가 흐르는 거 같더구만... 니 눈엔 이명박 박근혜 떨거지들이 정권을 잡아야 세상이 좋아 지곘니... 그게 니가 생각하는 중도야? 그래서 너를 초딩이라 하는거야... 고향가서 형준이나 뽑아라.. 열라 해 쳐 먹게...
