제목,날짜,작성일,작성자,댓글
대통령 할아버지…이 약속은 못 지키는 건가요?,2021-05-05 14:55:00,2021-05-06 11:04:00,bea,이 약속 도 못 지키시는 건가요
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-08 10:57:00,lordo****,기렉아 똥같은 기사로 선동질할 생각 꿈도 꾸지마라.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-08 10:47:00,김송,대한민국의 보수는 진정한 보수는 김대중 뿐 이었다~그들은 보수를 가장한 수구친일일 뿐이다.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-08 00:03:00,Nono,경향 좌파신문 한겨ㄹㅖ 저리가라네
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 22:23:00,hyun****,좋은말로 보수지 실제는 시대변화에 무디고 지적능력이 떨어진 노인들이 많은부분을 차지하다 점차 사망하니 줄어드는것 뿐이지.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 22:13:00,자자,여론조사 웃기고 자빠졌다. 여론조사 전화받아봤어? 전화벨이 울려 받으면 질문— 당신이 점 더 낫다고 생각하는 정당은 1번 민주당. 2번 국민의 힘—2번 누르면 당신은 조사대상이 아닙니다- 전화끊김. 여론조사 웃기고 자빠졌다. 저걸 믿는 건 진보만 믿는다. 보수들아 여론조사 믿지마라. 그냥 좌빨들의 선동이다. 통계청장 갈아치우는 것봐라. 정부 모든게 그냥 다 거짓이다.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 20:22:00,등대지기,"찌그러진 달빛아래 무뇌충 잡견 좀비들...더불어 만지다,쑤시다 못해, 똥개 처럼 돈 될만한 정보 보이면 , 물불 안가리고 한다리 들고 오줌 깔기며 오만군데 영역 표시 하였구나 ...파란지붕 에 사는 떼거리들은 사전 조사해보니 없다 ? 확신해서 조사해보라 했나? .. 똥창부터,국개의원, 공무원 ,민간인 할것없이 특검해서 불법 위장농지 몸통부터 깃털 차명까지 모조리 밝혀내어 족쳐라 ,그렇지 못하면, 대대손손 채마밮 일구며 근근히 살아온 우리네 민초들은 제2 동학 혁명으로 반드시 응징 할것이라 확신한다......광기 어린 지역 토호 우두머리 넌 왜 말이없니 니 관할에서 난 사건인데.."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 18:52:00,부자,"토착왜구 ㆍ수구꼴통ᆢ
국민의짐"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 16:30:00,-,"토착왜구들과 국민의짐 불안에 떨며 ""덴노 헤이카 반자이~~"" 를 외치는 모습이 보이는 구만ㅋ

토착왜구들 국짐당 다음 대선에서도 엿 쳐먹으면 왜구의 후예들 답게 장렬하게 셋푸쿠~ 알지?

왜구들이니까 설명은 안한다. 김종인이나 주호영이가 카이샤쿠 역은 해줄 거다 아마. ㅋ"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 16:11:00,ilk,지금 민주당이 진보인가? 진보가 모두 얼어죽었는가 보다. 진보는 무슨 진보? 개털진보.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 16:07:00,bk****,"진보-좌파 : 일본 극혐, 친 중국-북한
미국과는 사안에 따라서 협력
(안보상 한미 동맹은 기본적으로 유지)
보수-우익 : 공산주의/국가 극혐, 친 미국
친 일본 및 한미동맹 철저유지
그런데, 서양에서는 한국인의 이와 같은 좌/우 대립적 개념을 이해하기 힘들어 합니다. 서구식 사고방식으로는 진보/보수 혹은 공산~사회주의 대 자유민주주의를 대체로 경제적인 개념을 가치판단 기준으로 구분해서 말한다고 보면 됩니다.
즉, 진보/좌파는 사회주의식 경제체제(계획경제와 기업의 국유화를 중심으로 하는 경제구조 우선주의)를 추구하며 보수/우익은 자유로운 시장 거래, 사유재산 인정 기반의 자본주의 경제체제를 지향한다는 식 입니다. 그런 그들이 보기엔 한국에서 보수는 친일 수구 토착왜구 라고 보는 것과 진보 좌익은 친 공산당, 친 북한/ 친 중공(중국 공산당을 의미함).... 한 마디로 ㅃㄱㅇ 라는 식으로 서로 상대방을 매도하는 것을 이해하기 어렵다고 하는 것이지요.
물론 그들도 한국의 근 현대사를 조금만 관심있게 들여다 보면 비로소 납득이 가게 될겁니다."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 16:00:00,무울,"국민들이..많은,학습으로..정견이.생겼다는것...필요한건..정언..정행이라네..."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:45:00,제임스리,"없는 자들이 훨씬 많은데도, 보수를 지지하는 자들이 많았던 아이러니는 국민들이 무지했기 때문이다. 친일에 독재에 핍박을 받으며 조상 대대로 힘겹게 살아온 자들이, 가해자가 누구인지도 모르는 무지 때문에 오히려 가해자들을 지지해온 것이 우리의 슬픈 역사였다."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:19:00,쌍무지개,선거를이기기위해 싹싹 글거 다 퍼준다는데야 방법없지뭐.. 다음세대 깡통을차던말던..
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:57:00,조희석,@쌍무지개 너는 네 처자식이 굶든 말던 물이나 떠다 주면서 살아라
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 21:30:00,이규만,@조희석 니는 처자식 굶길정도 냐 불쌍타
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:09:00,긴도깡,진보가아니라 진상들이다
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:02:00,earlyfr****,"민주당은 이거 보고 오판하면 안됨.
민주당 극성 진보층이 목소리 커지면 언제나 필패한게 민주당 역사임.
나꼼수 3인방 박시영 이런 사람들이 과대표하면 선거 위험함.
중도진보로 온건하게 가야 함.
으쌰으쌰하는 자영업자들과 일정 거리 안두면 또 패함.
민주당 초선들 자중해라."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:56:00,bu****,퍼준다는데 장사 없습니다. 망하는 거지.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:44:00,빅건우,아직도 이 나라는 친일 세력으로 부터 완벽한 독립을 이루지 못했구나~!
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:41:00,라우렐린,"내 생각엔,
과도하게 폭력적인 게임에 수십년간 노출되어있던 30~50대 들 눈으로 볼때,
요즘의 극우보수놀음은 70~80대 노인네들 수준의 케케묵은 거의 저능아들 장난 수준이라서..
별로 흥미를 못느끼게 된거 같음.
그래서 좀더 치열한 진보쪽으로 흥미를 느끼는듯."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:34:00,민철잉,보수도 몰락했지만 이 정권 하는 꼬라지 보면 2019년부터 진보는 더더욱 개쓰레기시궁창이 되어버린거같은데? ㅋㅋ현실감각 없니?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:20:00,자작나무,난 진보 아닌데 보수는 안 찍어 주고 싶어
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:08:00,소중한날들,"대한민국에 진보와 보수가 어디있나?
그냥 당 이름만 다른,하는짓이 똑같은 정당이 여당 야당이란 이름으로 존재하는 것이다.
대통령 조국 윤미향 추미애도 다 썪어빠진 위정자들인데 지들이 진보라며 정의라며 떠든다.
우습다. 둘다 야당 여당 다 무능하고 썪었다"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:46:00,kik****,"진보도 보수도 아닌 합리적이고 상식적인 보통사람들, 중도.무당층이 이기는 겁니다. 두려워 마세요 어차피 화무십일홍 아닙니까. 범죄자들이 판치는 나라는 막아야 지요."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:45:00,nbv,"보수대통령들마다 먹어치우고
편갈이 추적감시 북한을 방불케하니
또한 권력찬스판이고
심지어는 로스쿨제도로 가난한자들은 사법고시 기회조차도 없고"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:44:00,bj****,친일 국민의적은 없어져라
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:43:00,7점62mm,농담이 아니고 나는 2012년 문 박 결과 3.4%(오차있음) 차로 박이 승리했을때 이미 예상했는데 왜냐 국힘당의 옛날부터 선거전략이 안보팔이 인구가많은 영남을 이용하는 영호남 갈라치기 그리고 정보기관의 협조하에 정치공작 이것으로 연명해왔는데 이것을 믿는 사람의 대다수가 50대 후반 이상이라는것 그러나 안타깝게도 매년 사망자가 약26만명인데 절대다수가 국힘당지지층인 고연령층 이라는것 국회의원선거 4년 대선 5년 한번곱하기 해보시지 5년단위로 몇%가 빠지는지 안탑갑게도 새로투표권을 갖는 18세부터는 앞에말한 세가지가 전혀 먹히지 않는다는것 참 걱정이다 국힘당
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:35:00,안티,"지인이 아직도 대깨문 탈출 못했으면 관계 끊어라. IQ가 60도 안 되면 그게 사람이냐? 가망이 없다.
아니면 ㅈ선족이겠지."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:34:00,식민지 국민들,"바지속에 거시기꺼네 이리 저리 물뿌리고 다닌 민주당 진보무리들,,,,, 박영선이라고 별거냐? 박영선이 한테도 미리 각서를 받아야 한다. 성추행 안하겠다고,,, 그래야 밑에 남자부하직원들이 맘놓고 일하제,,,,, 안그냐? 그라고 야권은 단일화하여, 미친 문재인을 잡아야 한다. 말로만 민주, 인간 이딴소리했지,,,, 실제로는 부정부패의 온상으로 가고있다. 차기 정권이 바뀌면 전부~ 다~ 조사하면 나오겠지만,,,, 그때까지 기다리기로 하고 국민의힘은 지는게 이기는 것이다!!!"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:26:00,식민지 국민들,"근혜가 못한거 같아? 문재인을 밀어주었지만,,,, 역시나! 나라일은 진보가 그나마 잘한다는걸.... 국민이 알아차린게지,,,, 전체적으로 놓고 볼땐!!!"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:19:00,wha****,"러시아 공산주의자 레닌의 교시
""목적은 수단을 정당화 한다.혁명을 위해서는 거짓말 해도 괜찮다""
""거짓말은 혁명을 위한 가장 강력한 수단이며,거짓말을 백번하면 참말이 된다""

프랑스 정치학자 레이몽 아롱
정직하면서 머리가 좋은 사람은 좌파가 될 수 없다!
정직한 좌파는 머리가 나쁘고 머리가 좋은 좌파는 정직하지 않다.

1789년 프랑스 좌파를 이끌던 로베스피에르는 아이들에게 우유를 값싸게 먹이기 위해
우유값을 반값 이상 받으면 사형 시키겠다고 했고 우유값은 폭락했지만
얼마 지나지 않아 농민들이 돈이 되지 않는 젓소를 도축했다.
그리고 우유값이 폭등했고 중산층 아이들도 우유를 못먹는 사태가 벌어졌다.

2020년 같은 일이 대한민국 부동산에서도 벌어졌다.
민주당이 임대차3법으로 다수 임차인들을 위한 정책이라고 내놓은 입법이
안그래도 진정되지 않던 부동산을 폭등시켰다

더군다나 2017년9월 LH법에 내부기밀로 이익을 얻을때 처벌하는 법안에서
5년이하 징역형을 3년이하 징역형으로 변경하겠다는 법안을 민주당 16인이 공동발의했다
하지만 당시 민주당이 의석수에서 밀려 법안 통과는 실패했다
오히려 이익을 추징하고 10년이하 징역형 법안을 만들어도 될까말까한 일인데도....
지금까지 민주당이 하는 꼬라지 보면
민주당180석은 그냥 자기들 당리당략에만 이용하는 의석수가 되었을뿐이다
중대재해법도 국힘당 핑계되면서 미적거리다가 원 법안보다 훨씬 후퇴한 법안으로 통과시키고
무슨 말만 나오면 국힘당 핑계대면서
정작 자기들 이익에 필요한건 강제로 법안 통과시키는 민주당
서울,부산 보궐선거에 대해서도 성추행당이라는 소리에 창피한줄도 모르는 민주당과 민주당똘마니들

그리고 자기가 진보이고 좌파라 생각하는 개돼지들아
니들이 진짜 진보이고 좌파라면 지금의 민주당이 아니라는 쓴소리를 해야되고
그런 사실을 깨닫지 못한다면 평생 개돼지로 지낼수 밖에 없는거다"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:51:00,보헤미안,"@wha**** 역대 보수 집권자들에 말로를 함 보자
이승만은 4.19혁명으로 내쫒기고, 박정희는 부하에게총맞아죽고,
김영삼이는 나라말아먹고 부도내고
전두환이 노태우누는 쿠테타에 부정축재 뇌물로 두놈빵에간걸 김대중이 빼주고
사기에뇌물 비리로 이명박그네 둘은 빵에드가있고
이나라는 진보가 살려놨어 임마
무식하기는 부끄러운줄알아야지~"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 16:39:00,bk****,"@보헤미안 역대(라고 해봐야 현 문통 까지 다 합쳐서 3명) 진보/좌익 댓통들은... ???
1. 김 선생님 : 남한 대통령으로 최초로 북한 방문, 김정일 끌어안고 남북정상회담....
추후 노벨 펭화상 수상함. 그러나 후임 노통령이 퇴임 한지도 얼마 안 되어 나이가 훨 씬 많은 자신보다 먼저 저 세상으로 가는 걸 보게 됨.
2. 노무현 전 대통령 : 전임 김 선생님에 이어 또 북한 방문, 김정은과 제2차 남북정상회담 가짐. 신선감도 감동도 퇴색됨. 재임기간 중 헌정사상 최초로 국회에서 탄핵논의 진행되고 표결 결과 가결되지만 헌재에서 기각됨 1번(김대중 전 대통령 편)에서 이미 말한 바와 같이 스스로의 명예를 지키고 결백을 주장하려... (이하 생략)
3. 문 통령님(현직 대한민국 댓통) -- 보수측 성향 인물들에게는 “문 재앙”으로 불리고 있는 중.. 북한 김정은을 만나서 역사상 세 번째 남북정상회담 진행함.. 거듭 여러번 만났지만 북핵문제를 해결하진 못했고 그 후폭풍으로 한미 동맹의 근간을 뒤흔들고 친 중 - 친 북 행보로 국제사회 왕따를 자초하는등 외교/통일 문제에 있어 암초 역할에 충실함. 부동산 문제를 해결하겠다면서 도리어 역효과를 신나게 내고 있으며 스스로 임명했던 검찰 총장을 통솔하지 못해서 무려 두 명의 법무부장관이 뜻을 못 이루고 물러나기도 했음....
이것이 보편적이고 상식적인 일반 국민시각에서 바라본 전/현직 자칭 진보측 댓통들 현주소임"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:13:00,우그리,"대통령 2명뽑아 하나는 보수,하나는 진보만 통치하는 국가로 만들자."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:11:00,최강코리아,만져당 빠진넘들아 정신좀 챙기자.... 이정부는 공산당 눈치만 보는 한심한정권하고..공무원부패가 판치는 정권이다...개돼지들아 !!친일?개돼지들이 일제자동차 사지말자
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:09:00,KUNA,"바보도 10년간 교육 받으면 자기 이름 석자는 쓴다.
이명박근혜 10년 헬조선에서 살고도 아직도 정신 못차린다면
그건 정상인이 아니라 태극기부대지."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:04:00,최강코리아,개돼지들아 뭘 알겠냐 ㅋㅋㅋㅋㅋㅋ캬 이개 나라냐
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 12:49:00,Parting,"민주당이 보수인거고
지들이 보수라고 착각?하고 있는 국민의힘은 그냥 나라 팔아 먹는 매국단체"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 12:21:00,ys kim,박정희 전두환 추종자들이 하나둘씩 없어 지는모양이군 진보가 앞서가는거 보니
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 12:13:00,jh****,반신반인으로 추앙하는 박정희의 그림자가 서서히 퇴색되어가고 있음이다. 그럴수록 극우들의 발악은 거의 저주 일색이 될 것이다.
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 12:11:00,땅 땅 땅,또 선동질을 시작하는구나...좌빨 경향이~~~
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 12:01:00,anarchy,"이명박근혜가 최악이라면 문정권은 초악이다..!!!
누가더 나쁘고 국민들 못살게 구느냐가 관건인 선거..~
옆에 있는 쪽바리도 정말 싫지만 북공산정권만 옹호하는 이정부가 더 최악이다.
인권을 부르짓는 정부가 북한인민 국민들의 인권을 우선 생각해야 제대로된 정부아닌가?
암튼 시장원리를 모르는 문정권이 된다면 부동산 아파트값 계속 오를테니 가진자들 청와대,정치인포함
나쁠건 없네"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:59:00,muno****,에레이 치 사한 넘들 어떤 결과 나느지가 중요~~~~
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:51:00,lordo****,"기렉아 뭐가 그리 다급해서 벌써 선거조작질을 시작하니?
지금 판세 보니 보귈선거 무지하게 걱정되지?
근데 아무리 해봐야 민주당.30% 못넘긴다. 왜?
젊은 세대들이 너희들에게 등 돌려버렸거든."
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:39:00,noa****,부정 부패의 끝판왕 기득권 세력 문재인을 타도하자... 대한민국의 민주주의를 바로 세우자
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:36:00,산양들,"아묻튼 대한민국 국민이면 이나라를 오래도록 보존 잘 할려면
국익차원에서 애국을 합시다"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:22:00,tackm****,진보라고해서 민주당 덮어놓고 뽑아줄거란 생각은 하지 마시길 LH나 인국공 등 이를 가장 많이 가는거도 그들이니
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:16:00,친일파 미친통닭당,지금 40대가 베이비붐 세대라고 하던데 ... 가장 수가 많고 그래서 아마도 그럴듯 .. 30/40대는 진보가 압도적임..
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:10:00,sj****,"4년만에 나랏 빚을 400조나
뻥티기 한 넘을 칭송 하는 미친 넘들
대깨문 아거들 보거라
국민을 사랑해서
바다에 표류중인 국민을 총살 당하게 하고
월북자로 뒤집어 쒸워!
북에서 월남한 사람을 강제 북송 시켜
총살 당하게 하고
권력으로 성추행 한 넘 감싸고
위안부 할머니들 돈갈취한 년
정보이용 부동산 투기한 넘
전부 국회의원 시키고
서류 위조범 가족 일당 감싸고
엉터리 부동산 정책으로 서민들
삶의 의욕 바닥으로 추락 시키고
코로나 미리 차단 못하여
지금도 전국민들 힘들게 하고
외교는 폭망 그자체
국방은 정은이 눈치 보느라
군인들 훈련도 못하게 틀어막아
당나라 군대 만들어
연일 경계선은 뚫리고
원칙대로 수사 하는 검사들은
권력으로 물먹이고
백신은 세계 꼴찌로 확보
부작용 염려
국민들 먼저 맞게 하면서 눈치나 보고,,,
그것도 부족해 불법 농지 취득하고
내로남불 불법 땅투기 조사 하란다
누군지 알겠지
이자의 무능과 범죄 행위는
추후 반드시 엄중히 조사 반드시 죄값을 받도록 해야 한다"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 11:21:00,친일파 미친통닭당,@sj**** 장애인아 !!! 머리가 옵션이면 귓구녕 열고 쳐 듣고 좀 다녀라 .... 미국은 이미 6조 가량 풀었어 ... 우리나라 돈으로 계산하면 7천조다 장애인아 ..전세계가 양적완화 하고 있는데 몬 개소리야 ... ㅉㅉㅉ 한심한 뜰딱 새끼 ... 인플레이보다 더 무서운게 디플레이션이야 ... 알겠냐 ... 그리고 우리나라 정부 부채 50%로도 안돼 .. OECD 중에서 상위권이다 .. 재정건전성이..이게 좋은 것 같냐 ... 그동안 복지 사각지대가 많다는거야 .. 삼성전자 공장에 사람 많을것 같지 ..전기차 공장에 사람 많을것 같지 ... 전부 로봇이다 ..장애인아 ... 미국 top 파일럿이 ai 에 한판도 못이긴거는 아냐 ... ㅉㅉㅉ 일자리 전부 로봇으로 갈아치우면 몰로 먹고 살래 ..그래서 외국에서 로봇에 세금을 부여하자는 애기가 나오는 거야 ..그래서 기본소득 이야기가 나오고 있는거고 .. 대가리가 옵션이면 집에 놓고 좀 다녀라 !! ㅉㅉㅉ
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 15:45:00,sihagall****,"@친일파 미친통닭당 머저리 촌닭아??~~
미국과 비교하냐??~~
나라에서 돈주니 좋지??~~침 질질 흘리면서 충성에 또 충성!!~~
그래서 니들이 나라 망치는 족속들인거야!!~~
계속 거지 근성 가지고 살아라~~잉!!~~^^"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 13:53:00,sj****,"@친일파 미친통닭당 이놈도
역시
대갈통을 장식품으로 달고 다니는군"
"대선지지층, 진보가 보수보다 처음으로 앞선다",2021-03-07 08:24:00,2021-03-07 14:50:00,-,@sj**** 대/가리에 자갈만 가득 찬 자네 보다는 500배쯤 나아 보이는데? ㅋ
